id,message
2,おはようございます！
3,今日はいい天気ですね。
1,昨日のドラマ見ましたか？
1,ランチは何を食べましたか？
4,ちょっと疲れてきましたね。
4,午後も頑張りましょう！
2,その件についてどう思いますか？
4,明日の予定は何かありますか？
5,コーヒーでも飲みませんか？
4,最近ハマっていることは何ですか？
5,週末はどこかに出かけますか？
5,いいアイデアですね！
2,少し休憩しましょうか？
2,この資料を確認してもらえますか？
4,ありがとうございます！
1,助かりました、本当に。
5,これについて相談したいです。
3,調子はいかがですか？
4,久しぶりですね！
5,最近どうしていますか？
5,また会えて嬉しいです！
4,今どこにいますか？
2,移動中ですか？
4,会議は何時からでしたっけ？
4,今日のタスクは終わりましたか？
4,まだ時間かかりそうですか？
1,進捗どうですか？
5,少し手伝いましょうか？
2,大丈夫ですか？
4,お先に失礼します。
4,明日は在宅勤務です。
3,何か困っていることはありますか？
5,最近寒くなってきましたね。
5,風邪ひかないように気をつけてくださいね。
2,メール確認しましたか？
5,会議室は予約済みですか？
1,今日は何の日か知ってますか？
3,たしかに、それも一理ありますね。
4,その件について上司に確認しましょう。
2,昼休み行きましょう。
3,ちょっと外に出てきます。
5,飲み物買ってきましょうか？
2,雑談しましょう！
3,いつもありがとうございます。
5,了解しました！
4,ではまた後で連絡しますね。
4,夜にミーティングがあります。
5,週報の提出を忘れずに！
5,月曜日は忙しいですね。
2,新しいプロジェクト楽しみですね。
2,タスクを割り振りましょう。
2,週末はゆっくり休んでください。
3,そのアイデアは面白いですね！
1,納期に間に合いそうですか？
2,資料を共有してもらえますか？
1,その話、もっと詳しく聞きたいです。
3,すぐに対応します。
3,お疲れ様です。
2,今日も一日頑張りましょう！
3,また連絡します。
5,わかりました。
4,念のため確認しておきます。
3,一度話し合いましょう。
3,Slackに送っておきますね。
2,先方に確認中です。
4,出社は何時頃になりますか？
1,Zoomでミーティングしましょう。
1,資料の修正お願いします。
4,今週中に終わらせたいです。
1,今日中にレビューしますね。
3,少し時間もらえますか？
1,ありがとう、おかげで助かりました！
4,とても助かりました！
5,どういたしまして！
3,なにか気になる点はありますか？
4,調査してみます。
3,リリースおめでとうございます！
4,テスト環境にデプロイ済みです。
1,確認でき次第連絡ください。
5,ログを確認してみます。
2,バグの報告ありがとうございます。
2,再現手順を教えていただけますか？
2,仕様書はどこにありますか？
5,Gitにプッシュしました。
3,レビューお願いします。
1,今確認中です。
4,すぐ対応しますね。
3,次のステップに進みましょう。
3,明日また相談させてください。
4,朝会で話しましょう。
4,進捗報告をお願いします。
1,内容を整理してから共有します。
3,提案ありがとうございます！
3,開発お疲れ様です。
4,無事終わってよかったですね。
3,不明点があれば教えてください。
1,マージしておきました。
4,今日の目標は達成できましたか？
4,ゆっくり休んでください。
3,明日も頑張りましょう！
